Assessment Name,URL,Remote Testing,Adaptive/IRT,Test Type
Account Manager Solution,/solutions/products/product-catalog/view/account-manager-solution/,No,No,C P A B
Administrative Professional - Short Form,/solutions/products/product-catalog/view/administrative-professional-short-form/,No,No,A K P
Agency Manager Solution,/solutions/products/product-catalog/view/agency-manager-solution/,No,No,A B P S
Apprentice + 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,B P
Apprentice 8.0 Job Focused Assessment,/solutions/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,B P
Bank Administrative Assistant - Short Form,/solutions/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,A B K P
Bank Collections Agent - Short Form,/solutions/products/product-catalog/view/bank-collections-agent-short-form/,No,No,A B P
Bank Operations Supervisor - Short Form,/solutions/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,A B P S
Bilingual Spanish Reservation Agent Solution,/solutions/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,B P S A
"Bookkeeping, Accounting, Auditing Clerk Short Form",/solutions/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,P S K B A
Branch Manager - Short Form,/solutions/products/product-catalog/view/branch-manager-short-form/,No,No,A B P
Cashier Solution,/solutions/products/product-catalog/view/cashier-solution/,No,No,B A P
